,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
0.0,-0.251391987330429,0.13871674320148214,-0.5319944417890385,0.0776261382706061,-1.0682316559621814,0.2609251892244021,0.042350355019877155,0.9693690098384466
0.00390625,0.6231890602407418,-0.5614523851638948,0.4152397096107502,0.4859164680304534,0.6671050590798666,0.020576929679472444,-0.6534947751854117,0.23511252177664071
0.0078125,1.40237895483756,0.08532827758560682,1.4528078604395935,0.756101911035374,0.7201180882966378,0.4980638729025746,-0.23263734829124638,0.13688034162844911
0.01171875,1.105945479773885,0.6012924464251833,-0.13921246815620403,0.7429110789485339,-0.8703101092090042,0.8474385588571666,-0.32419979999647514,0.3745003746640343
0.015625,0.4493372777414033,0.9072699367844144,0.7015751572756636,0.22083793016324432,0.5551079599549303,0.9405169730852936,1.335112694443413,-0.20802531106816902
0.01953125,1.0108876631410697,0.9616146203539573,1.0348806592741209,0.8482443360009816,-0.15287862595637358,0.8721391858827146,0.0876255953942775,0.7472748352650506
0.0234375,0.5748753190630016,1.1682294007949352,0.438469794449561,0.5089864200492659,1.3629874532483752,0.7129343466306549,0.5923314011886038,1.907049737051788
0.02734375,1.2278431519573467,-0.5224162627781608,1.1753143548574,0.5537421242150826,0.5445321061867894,0.8798029607544088,1.212093996370338,1.1762678525065473
0.03125,-0.2542536205299061,0.2203364484434187,0.9762634591050667,0.4098448739604616,0.501966610216979,0.14803127913995162,0.7561773025768648,2.2827101019275893
0.03515625,0.3887169948616771,0.04544884456785192,0.96712806323626,1.8282631839379597,0.6508389328180566,1.1002211296988764,1.8105350755406353,1.1151580174587945
0.0390625,1.3214661441453044,1.0975985229608416,1.6368882845833186,0.16791469244158552,0.707373467159922,1.739120703133362,1.2376016171963593,1.3509499394948588
0.04296875,0.18336897536612373,0.37325432159374583,1.8691415879333597,0.2650872200660477,0.885551886987835,-0.005564879412739532,0.4628990972840429,1.0962269413562136
0.046875,0.8144846939323256,1.92040794804694,1.2306105616549545,1.245067363531025,0.3332043236000922,1.8308617516024859,1.3065027205473272,1.0919668632443127
0.05078125,0.6195040595656618,0.8308147826458517,0.9049084634260892,1.3718476966584212,0.571958855915864,0.6423424911624934,0.4864081830754234,1.0360683535565132
0.0546875,0.1837703604598736,0.674578411643574,1.9625728866689525,1.0722011642155576,0.9741139258007137,1.311729661545114,0.5273415030132764,1.2691727547054357
0.05859375,-0.06545358170409077,1.0885944266762562,1.5197151995174156,0.7411121207765549,0.5637352368197949,0.4991089395431365,0.6870851467822011,1.6920867126186105
0.0625,0.19782610326259423,0.636733464182741,0.6234458262202042,0.6571731348987482,0.7063010152666053,0.9277450114695112,0.8818564739172345,0.9635922343753293
0.06640625,0.20118182860317568,0.33108431180645315,0.12467952227907964,0.8598987293123229,1.4140794183080212,0.36927276009937676,0.5700525116455664,1.4456065873909334
0.0703125,-0.2639841776933085,0.8245621983392908,-0.5286628448931999,1.6103190388682709,0.6012415951270883,0.4235333749150577,0.8673065978165863,1.4889677085472233
0.07421875,-0.23557252688952673,-0.003358504387435235,0.3750595674387325,0.9473559433535558,1.0774061594902038,0.11704055456523439,0.28926094358716925,1.4771544119413678
0.078125,-0.10373785395336804,0.22083029235592277,0.17458577232511666,1.168259018448288,-0.059080982899358814,0.02415902531896913,0.2789146266910889,1.2518006366159924
0.08203125,-0.05139404848232765,-0.03801805836428851,-0.48435350333060123,0.7849905629656995,0.758218337139194,-0.12505095418133405,-0.6376732391397966,0.9347916719690466
